Job Title,Job Type,experienceLevel,job skills,Hours Needed
Programmer Needed For Financial Services Company,Fixed-price,Expert,"Data Mining
Python
Microsoft Excel
Scala
SQL
R
Apache Mahout
pandas
KNIME
Financial Accounting",30+ hrs/week
AI Tools for Combining Research,Hourly: $20-$80,Expert,"Data Analysis
Data Science
Data Mining
Artificial Intelligence
Machine Learning",Less than 30 hrs/week
Data Analyst,Hourly: $17-$50,Intermediate,"Data Analysis
Data Entry
Microsoft Excel
Python
R",30+ hrs/week
"Writer Needed for FinTech, SaaS, Online Crypto Exchanges, and Online Trading Technologies",Hourly: $25-$40,Expert,"Search Engine Optimization
Fact-Checking
Blog Content
Content Writing
Copywriting
Article Writing
Blog Writing
Crypto Exchange Platform
Online Financial Trading
FinTech",Less than 30 hrs/week
Financial Data Analysis and Business Plan Creation,Fixed-price,Intermediate,"Financial Analysis
Business Analysis
Financial Modeling
Business Plan
Microsoft Excel",Less than 30 hrs/week
Google Analytics 4 expert (GA4) to help me create a Bing Ads report (trial assignment),Fixed-price,Intermediate,Google Analytics,30+ hrs/week
Automation Developer for Web Scraping,Hourly: $15-$35,Entry level,"Data Scraping
Web Scraping
Python
Automation
Selenium",N/A
Hubspot Custom Reporting,Hourly,Expert,"Data Analysis
Data Analytics
Marketing Analytics
Sales Analytics
Report
Dashboard
HubSpot
Business Intelligence",N/A
Geojson for US districts map,Fixed-price,Expert,"Highcharts
GIS
GeoJSON
ArcGIS",N/A
Tableau Developer,Hourly,Expert,"Data Visualization
Tableau
SQL",N/A
Programmer Needed For Financial Services Company,Fixed-price,Expert,"Data Mining
Python
Microsoft Excel
Scala
SQL
R
Apache Mahout
pandas
KNIME
Financial Accounting",30+ hrs/week
AI Tools for Combining Research,Hourly: $20-$80,Expert,"Data Analysis
Data Science
Data Mining
Artificial Intelligence
Machine Learning",Less than 30 hrs/week
Data Analyst,Hourly: $17-$50,Intermediate,"Data Analysis
Data Entry
Microsoft Excel
Python
R",30+ hrs/week
"Writer Needed for FinTech, SaaS, Online Crypto Exchanges, and Online Trading Technologies",Hourly: $25-$40,Expert,"Search Engine Optimization
Fact-Checking
Blog Content
Content Writing
Copywriting
Article Writing
Blog Writing
Crypto Exchange Platform
Online Financial Trading
FinTech",Less than 30 hrs/week
